file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\Navigate.java,BehavioralPatterns.Strategy.Navigate,setStrategy/1[BehavioralPatterns.Strategy.INavigationStrategy],false,28,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\Navigate.java,BehavioralPatterns.Strategy.Navigate,"Navigate/2[java.lang.String,java.lang.String]",true,11,0,1,1,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,false
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Strategy\Navigate.java,BehavioralPatterns.Strategy.Navigate,navigate/0,false,19,1,2,1,1,2,2,8,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,8,1,0,false
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\AddCommand.java,BehavioralPatterns.Command.AddCommand,"AddCommand/2[BehavioralPatterns.Command.Calculator,double]",true,7,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\AddCommand.java,BehavioralPatterns.Command.AddCommand,undo/0,false,18,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\AddCommand.java,BehavioralPatterns.Command.AddCommand,execute/0,false,13,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Builder\SaladSide.java,CreationalPatterns.Builder.SaladSide,name/0,false,6,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Builder\SaladSide.java,CreationalPatterns.Builder.SaladSide,price/0,false,11,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,false
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Observer\AMAZON.java,BehavioralPatterns.Observer.AMAZON,AMAZON/1[double],true,5,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\AbstractFactory\SideDish.java,CreationalPatterns.AbstractFactory.SideDish,describe/0,false,4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
