file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\AbstractFactory\MeatMealFactory.java,CreationalPatterns.AbstractFactory.MeatMealFactory,class,5,6,1,5,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\State\ITacticalState.java,BehavioralPatterns.State.ITacticalState,interface,1,7,6,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Builder\SodaDrink.java,CreationalPatterns.Builder.SodaDrink,class,1,2,1,1,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\AbstractFactory\Meal.java,CreationalPatterns.AbstractFactory.Meal,class,3,4,1,3,2,1,0,4,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,2,0,0,0,0,10,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Builder\BeerDrink.java,CreationalPatterns.Builder.BeerDrink,class,1,2,1,1,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\StructuralPatterns\Adapter\FitData.java,StructuralPatterns.Adapter.FitData,class,1,2,1,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Iterator\IAbstractCollection.java,BehavioralPatterns.Iterator.IAbstractCollection,interface,1,2,1,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\State\BalancedTactics.java,BehavioralPatterns.State.BalancedTactics,class,4,7,3,4,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\StructuralPatterns\Proxy\RealPerformAction.java,StructuralPatterns.Proxy.RealPerformAction,class,1,2,1,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Builder\BurgerMeal.java,CreationalPatterns.Builder.BurgerMeal,class,2,5,3,2,5,1,0,5,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,20,1,2,0,0,0,2,1,3,1,2,1,0,0,0,13,1,0
